card,keywords
The Fool,beginning innocence spontaneity leap of faith new journey
The Magician,manifestation power resourcefulness inspired action will
The High Priestess,intuition mystery subconscious inner voice hidden knowledge
The Empress,abundance nurturing fertility creativity nature motherhood
The Emperor,authority structure control stability father figure leadership
The Hierophant,tradition spiritual guidance conformity institutions teaching
The Lovers,partnership choices union relationships alignment of values
The Chariot,willpower determination control victory success direction
Strength,courage inner strength compassion patience resilience
The Hermit,introspection solitude inner guidance search for truth
Wheel of Fortune,change cycles fate destiny turning point luck
Justice,fairness truth law cause and effect balance
The Hanged Man,surrender letting go new perspective pause sacrifice
Death,transformation endings transition rebirth letting go
Temperance,balance moderation patience purpose harmony blending
The Devil,attachment addiction materialism bondage temptation shadow
The Tower,sudden change upheaval chaos revelation awakening
The Star,hope inspiration serenity healing faith renewal
The Moon,illusion fear anxiety subconscious confusion dreams
The Sun,joy success vitality positivity warmth clarity
Judgement,rebirth inner calling reflection reckoning awakening
The World,completion integration accomplishment travel wholeness
Ace of Cups,new feelings love compassion creativity emotional beginning
Two of Cups,partnership attraction connection harmony mutual respect
Three of Swords,heartbreak sorrow grief separation emotional pain
Ten of Swords,ending betrayal collapse rock bottom painful conclusion
Ace of Wands,inspiration new opportunity growth creative spark
King of Pentacles,abundance security discipline wealth provider stability
Queen of Swords,clarity independence direct communication truth boundaries
Knight of Cups,romance charm imagination following the heart
The Fool,new beginnings leap faith innocence curiosity openness trust journey
The Fool,freedom risk adventure spontaneity soul calling openness naivety
The Fool,blank slate divine timing curiosity optimism trust universe
The Fool,stepping forward unknown courage movement spiritual reset
The Fool,innocence exploration faith beginning cycle trust flow
The Magician,manifestation lemniscate drive initiative creation willpower
The Magician,focused intention mental clarity skill resourcefulness action
The Magician,channeling energy inspired action confidence direction
The Magician,alchemy mind matter alignment power self belief
The Magician,creative force activation conscious creation purpose
The High Priestess,intuition subconscious mystery inner knowing silence
The High Priestess,hidden knowledge spiritual insight dreams intuition
The High Priestess,stillness inner voice secrets perception depth
The High Priestess,psychic awareness feminine wisdom unseen realms
The High Priestess,trust intuition patience receptivity inner truth
The Empress,abundance nurturing creativity fertility growth love
The Empress,divine feminine beauty pleasure receptivity care
The Empress,creation gestation emotional fulfillment nourishment
The Empress,self worth comfort harmony natural flow
The Empress,mother energy support compassion manifestation ease
The Emperor,authority structure leadership stability boundaries
The Emperor,discipline order protection control strategy
The Emperor,masculine principle foundation responsibility power
The Emperor,command presence direction long term planning
The Emperor,grounded leadership security sovereignty
The Hierophant,tradition belief systems spiritual teaching guidance
The Hierophant,conventional wisdom structure morality institution
The Hierophant,mentor student sacred knowledge lineage
The Hierophant,ritual shared values spiritual authority
The Hierophant,commitment orthodoxy learning faith
The Lovers,union harmony alignment values attraction
The Lovers,choice heart decision emotional truth
The Lovers,connection soul bond mutual resonance
The Lovers,relationship mirror self awareness integration
The Lovers,devotion trust partnership polarity
The Chariot,determination drive control momentum victory
The Chariot,forward motion discipline willpower focus
The Chariot,mastery opposing forces confidence ambition
The Chariot,success through effort directed energy
The Chariot,assertion progress triumph self command
Strength,inner strength compassion courage patience
Strength,gentle power emotional mastery resilience
Strength,heart centered bravery calm control
Strength,self trust confidence quiet endurance
Strength,spiritual fortitude grace under pressure
The Hermit,introspection solitude inner guidance reflection
The Hermit,withdrawal wisdom contemplation truth seeking
The Hermit,inner light soul searching discernment
The Hermit,quiet understanding self discovery patience
The Hermit,spiritual retreat insight maturation
Wheel of Fortune,cycles fate destiny change timing
Wheel of Fortune,turning point karma motion luck
Wheel of Fortune,inevitable shift evolution alignment
Wheel of Fortune,life cycles rise fall flow
Wheel of Fortune,divine timing transformation chance
Justice,balance truth fairness accountability
Justice,karma cause effect integrity ethics
Justice,clarity objectivity honesty responsibility
Justice,legal matters consequences discernment
Justice,restoring equilibrium moral alignment
The Hanged Man,surrender pause new perspective
The Hanged Man,sacrifice letting go reversal
The Hanged Man,waiting spiritual suspension insight
The Hanged Man,release control acceptance trust
The Hanged Man,seeing differently ego dissolution
Death,transformation endings rebirth release
Death,closure inevitable change renewal
Death,letting go shedding skin evolution
Death,death of old cycle regeneration
Death,profound shift spiritual rebirth
Temperance,balance moderation integration harmony
Temperance,alchemy patience blending opposites
Temperance,healing middle path equilibrium
Temperance,emotional regulation flow alignment
Temperance,divine balance synthesis peace
The Devil,attachment shadow desire bondage
The Devil,temptation addiction material fixation
The Devil,fear based patterns illusion control
The Devil,unconscious behavior power imbalance
The Devil,liberation through awareness shadow work
The Tower,sudden upheaval revelation collapse
The Tower,ego breakdown shocking truth
The Tower,forced change awakening disruption
The Tower,structures falling liberation chaos
The Tower,radical reset divine intervention
The Star,hope healing renewal faith
The Star,spiritual guidance serenity trust
The Star,optimism after hardship restoration
The Star,light in darkness calm assurance
The Star,soul healing divine support
The Moon,illusion fear subconscious confusion
The Moon,dreams intuition uncertainty shadow
The Moon,emotional fog hidden truth
The Moon,psychic sensitivity inner anxiety
The Moon,trusting intuition navigating unknown
The Sun,joy clarity success vitality
The Sun,illumination confidence warmth truth
